price,Barn,Boat,Camper/RV,Casa particular,Dome,Earthen home,Entire bungalow,Entire cabin,Entire chalet,Entire condo,Entire cottage,Entire guest suite,Entire guesthouse,Entire home,Entire home/apt,Entire loft,Entire place,Entire rental unit,Entire serviced apartment,Entire townhouse,Entire vacation home,Entire villa,Houseboat,Hut,Island,Private room,Private room in bed and breakfast,Private room in boat,Private room in bungalow,Private room in cabin,Private room in casa particular,Private room in castle,Private room in condo,Private room in cottage,Private room in earthen home,Private room in farm stay,Private room in guest suite,Private room in guesthouse,Private room in home,Private room in hostel,Private room in houseboat,Private room in hut,Private room in loft,Private room in nature lodge,Private room in rental unit,Private room in serviced apartment,Private room in tiny home,Private room in tipi,Private room in townhouse,Private room in treehouse,Private room in vacation home,Private room in villa,Religious building,Room in aparthotel,Room in boutique hotel,Room in hostel,Room in hotel,Room in serviced apartment,Shared room in bungalow,Shared room in condo,Shared room in home,Shared room in hostel,Shared room in rental unit,Shared room in townhouse,Shared room in vacation home,Shepherd’s hut,Tiny home,Tower,Yurt
"(0, 100]",0,3,2,0,0,1,3,2,0,329,1,39,29,65,0,28,5,685,29,7,7,0,0,1,0,8,88,1,10,3,40,0,856,6,1,0,44,54,1513,1,1,1,44,1,1348,24,1,1,398,1,14,5,0,7,4,2,10,0,2,10,10,6,8,1,1,0,9,0,0
"(100, 200]",2,8,0,0,0,0,7,0,0,1449,9,17,20,358,1,57,5,2027,171,77,17,0,0,0,1,1,21,1,1,0,2,0,178,2,1,1,10,7,134,1,0,0,9,0,199,5,2,0,60,0,2,0,1,9,49,2,31,0,0,0,1,0,0,0,0,0,2,0,0
"(200, 300]",0,0,0,0,0,0,2,0,1,572,7,1,1,306,0,26,1,893,136,80,1,1,1,0,0,2,4,0,0,0,0,0,16,0,0,0,0,2,14,0,0,0,0,0,21,0,0,0,12,0,0,0,0,23,19,1,6,1,0,0,1,0,0,0,0,0,1,1,1
"(300, 400]",0,0,0,0,0,0,0,0,0,186,2,0,0,172,0,7,3,334,40,44,2,1,0,0,0,0,0,0,0,0,1,1,6,0,0,0,1,0,3,0,0,0,0,0,11,0,0,0,1,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(400, 500]",0,0,0,0,0,0,0,0,0,81,0,0,0,94,0,3,0,173,16,30,1,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,1,0,3,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"(500, 600]",0,0,0,1,0,0,1,0,0,34,0,0,0,37,0,2,0,94,7,23,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"(600, 700]",0,0,0,0,0,0,0,0,0,20,0,0,0,19,0,2,0,63,5,13,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(700, 800]",0,0,0,0,0,0,0,0,0,15,0,0,0,16,0,1,0,31,4,7,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(800, 900]",0,0,0,0,1,0,0,0,0,11,0,0,0,18,0,2,0,15,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(900, 1000]",0,0,0,0,0,0,0,0,0,8,0,0,0,21,0,0,0,17,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(1000, 1100]",0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,10,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(1100, 1200]",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(1200, 1300]",0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
