Unnamed: 0,host_response_time,host_acceptance_rate,host_is_superhost,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,review_scores_rating,review_scores_cleanliness,instant_bookable,reviews_per_month
3,2,96.0,0,11,17,0,3,0,1.0,2.0,132,2,31,111,199,4.74,4.76,1,1.44
4,1,99.0,1,1,38,2,2,2,1.0,1.0,65,4,365,303,528,4.88,4.82,1,3.55
5,1,96.0,1,32,17,0,6,0,3.0,3.0,425,4,365,241,54,4.76,4.71,0,0.38
7,2,83.0,1,12,48,2,2,2,1.0,1.0,60,3,1125,350,224,4.73,4.74,0,1.95
8,1,100.0,1,3,17,0,2,0,1.0,1.0,141,4,30,19,123,4.85,4.8,0,0.98
9,2,57.0,0,18,32,2,2,2,1.0,1.0,78,1,90,340,2,5.0,5.0,0,0.34
12,2,40.0,0,12,9,0,4,0,2.0,2.0,197,4,180,212,32,4.87,4.68,0,0.27
13,1,56.0,0,31,19,0,2,0,1.0,1.0,195,3,1125,203,96,4.9,4.91,0,0.65
14,2,99.0,1,26,38,2,2,2,1.0,1.0,65,1,30,347,236,4.84,4.88,0,1.81
18,2,100.0,0,27,32,2,1,1,1.0,1.0,110,2,45,54,164,4.97,4.97,0,1.19
22,1,94.0,1,5,44,2,1,2,1.0,1.0,59,2,1125,204,424,4.81,4.96,0,2.85
26,1,99.0,1,13,38,2,2,2,1.0,1.0,82,2,365,196,592,4.85,4.84,1,3.97
29,1,93.0,1,29,44,2,2,2,1.0,1.0,45,8,1125,207,238,4.76,4.54,0,1.85
34,2,91.0,1,19,17,0,3,0,2.0,4.0,306,14,100,16,92,4.9,4.94,0,0.62
37,2,31.0,0,27,44,2,2,2,1.0,1.0,47,1,7,103,9,5.0,5.0,0,0.26
41,2,100.0,1,27,32,2,1,2,1.0,1.0,60,1,1125,86,86,4.89,4.91,0,0.63
49,2,99.0,1,7,38,2,2,0,1.0,1.0,45,2,1125,324,71,4.75,4.87,1,0.52
51,1,75.0,0,27,44,2,1,2,1.0,1.0,112,2,365,364,110,4.66,4.89,0,0.76
56,1,96.0,1,5,17,0,3,0,1.0,1.0,190,3,730,138,76,4.76,4.81,0,0.57
57,1,77.0,1,19,17,0,4,0,2.0,2.0,616,7,1125,214,31,5.0,4.84,0,0.69
58,2,89.0,0,31,17,0,4,0,2.0,2.0,190,2,1125,221,94,4.79,4.51,0,0.79
61,1,96.0,1,21,32,2,2,2,1.0,1.0,55,2,1125,358,31,4.93,4.93,0,0.22
62,2,64.0,1,12,48,2,6,2,3.0,3.0,86,1,90,334,277,4.87,4.87,0,2.03
64,0,100.0,1,30,38,2,1,2,1.0,1.0,29,2,200,285,101,4.81,4.89,0,0.77
66,2,100.0,1,21,17,0,6,0,2.0,3.0,120,3,1125,10,79,4.9,4.99,1,0.7
71,1,0.0,0,30,44,2,2,1,1.0,1.0,99,2,90,353,2,5.0,5.0,0,0.05
74,0,63.0,1,18,38,2,1,0,1.0,1.0,44,20,365,39,38,4.86,4.44,0,0.29
75,1,96.0,0,19,32,2,1,0,1.0,1.0,70,2,1125,11,23,4.83,4.78,0,0.2
77,2,92.0,0,27,44,2,2,2,1.0,1.0,70,3,90,88,255,4.81,4.79,1,1.89
79,2,100.0,0,21,44,2,3,2,1.0,2.0,70,1,365,346,545,4.61,4.77,1,4.04
80,2,92.0,0,18,17,0,4,0,2.0,3.0,313,3,90,220,72,4.69,4.76,1,0.53
82,0,42.0,0,18,17,0,2,0,1.0,1.0,140,7,50,40,67,4.81,4.81,0,0.52
84,2,83.0,1,12,17,0,3,0,1.0,1.0,120,6,365,0,130,4.76,4.69,0,1.0
91,2,100.0,1,19,17,0,2,0,1.0,1.0,150,90,1125,130,189,4.86,4.77,1,1.39
92,2,89.0,0,31,44,2,2,2,1.0,1.0,80,2,1125,291,235,4.85,4.85,0,1.81
95,2,100.0,1,26,18,0,3,0,1.0,2.0,170,3,730,354,17,4.81,5.0,1,0.28
96,2,89.0,0,21,17,0,4,0,1.0,5.0,100,1,60,324,44,4.78,4.84,0,0.34
99,1,52.0,0,31,48,2,1,2,1.0,1.0,48,3,20,13,115,4.74,4.75,0,0.89
101,0,68.0,1,18,44,2,2,2,1.0,2.0,40,4,760,134,9,4.67,4.89,0,0.24
103,0,90.0,0,29,17,0,3,0,1.0,1.0,192,2,365,218,193,4.7,4.78,1,1.37
106,2,98.0,1,11,9,0,12,0,4.0,5.0,693,1,365,325,307,4.56,4.45,0,2.58
109,0,65.0,1,18,42,2,1,1,1.0,1.0,109,4,730,341,57,4.93,4.89,0,0.49
110,2,95.0,1,18,17,0,2,0,1.0,1.0,140,7,200,251,213,4.82,4.53,1,1.63
115,1,57.0,0,27,38,2,1,2,3.0,1.0,60,2,90,352,6,5.0,5.0,0,0.11
116,2,100.0,1,27,32,2,2,2,1.0,1.0,65,1,180,255,381,4.76,4.88,0,2.69
117,2,100.0,1,22,48,2,2,2,1.0,1.0,38,8,1125,197,178,4.84,4.82,0,1.36
118,1,84.0,1,11,44,2,2,0,1.0,1.0,48,3,7,63,120,4.93,4.97,0,1.21
119,2,100.0,1,8,38,2,1,2,1.0,1.0,40,1,28,312,461,4.78,4.89,1,3.41
120,2,100.0,0,3,9,0,4,0,2.0,2.0,317,2,1125,78,11,4.91,4.91,0,0.64
121,2,100.0,1,23,44,2,2,2,1.0,1.0,35,1,7,101,93,4.76,4.78,1,1.03
122,2,100.0,1,23,32,2,1,0,1.0,1.0,30,1,365,101,45,4.68,4.65,1,0.34
125,1,88.0,0,12,17,0,4,0,2.0,2.0,135,3,1125,83,140,4.76,4.83,0,1.03
129,2,94.0,0,24,13,0,4,0,2.0,3.0,150,3,1125,206,42,4.39,4.07,0,0.31
132,2,86.0,0,22,38,2,1,2,1.0,1.0,36,2,28,198,103,4.94,4.92,0,0.8
144,2,93.0,0,19,66,0,2,0,1.0,1.0,117,2,1125,209,437,4.45,4.26,0,3.13
145,0,100.0,0,12,44,2,2,2,1.0,3.0,59,2,60,153,337,4.89,4.91,0,2.57
147,1,100.0,1,18,17,0,4,0,1.0,2.0,227,3,365,22,0,4.74234347618289,4.717493222771488,0,0.0
149,2,100.0,0,21,44,2,2,2,1.0,2.0,68,1,1125,351,499,4.62,4.76,1,3.72
153,2,98.0,1,26,17,0,3,0,1.0,1.0,75,4,9011,69,67,4.7,4.82,1,0.59
154,2,96.0,1,7,38,2,2,2,1.0,1.0,29,1,1125,341,46,4.54,4.61,0,0.4
156,1,78.0,0,18,11,0,2,0,1.0,1.0,122,3,365,166,261,4.83,4.93,0,1.87
157,2,100.0,0,31,44,2,2,2,1.0,2.0,42,2,730,0,216,4.57,4.86,1,1.55
160,1,88.0,1,10,32,2,2,2,1.0,1.0,41,4,365,219,165,4.61,4.56,0,1.18
161,1,100.0,0,12,9,0,5,0,2.0,3.0,210,3,1125,154,56,4.58,4.38,0,0.64
164,0,93.0,1,9,38,2,3,2,1.0,2.0,41,180,1125,347,50,4.86,4.9,0,0.39
165,2,100.0,0,22,17,0,5,0,2.0,2.0,120,4,365,257,92,4.4,4.43,0,0.69
166,2,100.0,0,32,17,0,4,0,2.0,3.0,336,5,365,256,22,4.7,4.67,0,0.16
174,0,69.0,0,3,32,2,1,2,2.0,1.0,50,3,180,313,75,4.82,4.74,0,0.53
185,2,73.0,0,19,17,0,4,0,2.0,2.0,233,5,365,57,118,4.76,4.75,0,1.01
188,2,100.0,0,32,44,2,2,2,1.0,1.0,100,1,365,331,354,4.54,4.61,1,2.68
192,1,68.0,1,29,38,2,1,0,1.0,1.0,55,3,365,163,65,4.84,4.71,0,0.46
195,2,94.0,1,5,38,2,4,2,1.0,1.0,77,1,365,76,164,4.96,4.84,0,1.32
196,2,99.0,1,32,22,0,4,0,2.0,3.0,204,2,30,161,598,4.91,4.9,1,4.29
197,2,94.0,1,5,13,0,9,0,3.0,3.0,457,2,365,126,45,4.69,4.4,0,0.5
198,0,56.0,0,29,17,0,2,0,1.0,2.0,90,5,365,169,42,4.32,4.03,0,0.33
200,0,80.0,1,19,17,0,3,0,1.0,1.0,297,14,365,180,6,4.83,5.0,0,0.05
201,1,83.0,1,9,48,2,1,2,1.0,1.0,30,7,730,139,35,4.89,4.8,0,0.3
202,2,56.0,1,1,38,2,2,2,1.0,1.0,70,2,30,338,7,5.0,4.71,0,0.07
207,0,70.0,1,24,48,2,1,2,1.0,1.0,40,7,1125,55,46,4.89,4.91,0,0.35
208,0,70.0,1,24,48,2,1,2,1.0,1.0,38,7,1125,31,42,4.8,4.95,0,0.32
210,2,100.0,1,12,17,0,2,0,1.0,1.0,141,5,90,10,73,4.83,4.9,0,0.55
